seconds_interaction_window,triad_01_MG_P1P2,triad_02_MG_P1P2,triad_03_MG_P1P2,triad_04_MG_P1P2,triad_05_MG_P1P2,triad_06_MG_P1P2,triad_07_MG_P1P2,triad_08_MG_P1P2,triad_09_MG_P1P2,triad_10_MG_P1P2,triad_11_MG_P1P2,triad_14_MG_P1P2,triad_12_MG_P1P2,triad_13_MG_P1P2
280.0,0.11735941320293398,0.0,0.0,0.0,0.012048192771084338,0.1485148514851485,0.0,0.0,0.14225941422594143,0.028169014084507043,,0.0,0.07046070460704607,0.0
285.0,0.009925558312655087,0.0,0.0,0.00663716814159292,0.0,0.22185430463576158,0.0,0.0,0.1908713692946058,0.02464788732394366,,0.0,0.0,0.0
290.0,0.029197080291970802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12133891213389121,0.0037174721189591076,,0.0,0.0,0.0
295.0,0.11734693877551021,0.015345268542199489,0.0,0.0,0.0,0.11935483870967742,0.0,0.0,0.012195121951219513,0.12014134275618374,,0.0,0.01891891891891892,0.0
300.0,0.05896805896805897,0.005221932114882507,0.0,0.0,0.20795107033639143,0.2152317880794702,0.0,0.0,0.05371900826446281,0.23529411764705882,,0.0,0.0106951871657754,0.26277372262773724
305.0,0.08521303258145363,0.005037783375314861,0.0,0.0,0.0,0.20711974110032363,0.0,0.0,0.18326693227091634,0.11824324324324326,,0.0,0.0,0.49280575539568344
310.0,0.058823529411764705,0.0,0.0,0.033936651583710405,0.0,0.09646302250803858,0.0,0.0,0.38934426229508196,0.03806228373702422,,0.0,0.0,0.0
315.0,0.0049504950495049506,0.0,0.0,0.0,0.14545454545454545,0.049019607843137254,0.0,0.0,0.24096385542168675,0.0,,0.0,0.019021739130434784,0.02909090909090909
320.0,0.020050125313283207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012711864406779662,0.04152249134948097,,0.0,0.0,0.0
325.0,0.019464720194647202,0.0,0.0,0.06,0.36503067484662577,0.03194888178913738,0.0,0.0,0.42857142857142855,0.0,,0.0,0.050666666666666665,0.24074074074074073
330.0,0.05623471882640586,0.0,0.0,0.0645879732739421,0.0694006309148265,0.0,0.0,0.0,0.4457831325301205,0.0,,0.0,0.0,0.10948905109489052
335.0,0.0,0.0,0.0,0.042222222222222223,0.21362229102167182,0.0,0.0,0.0,0.016194331983805668,0.0,,0.0,0.0,0.0
340.0,0.0024449877750611247,0.0,0.0,0.0,0.18412698412698414,0.0,0.0,0.011363636363636364,0.10384615384615385,0.0,,0.0,0.0,0.1935483870967742
