analysis,group_split,target,feature,logreg_std_coef,logreg_abs_coef,rf_importance
segment_group_task_engagement_base_T,T,task_engagement,sentiment_p_blue_mean,0.027387298535233473,0.027387298535233473,0.047662976813439575
segment_group_task_engagement_base_T,T,task_engagement,sentiment_p_green_mean,-0.11622483115859746,0.11622483115859746,0.059985506268769875
segment_group_task_engagement_base_T,T,task_engagement,sentiment_p_red_mean,-0.08472224171308092,0.08472224171308092,0.05486011589647486
segment_group_task_engagement_base_T,T,task_engagement,arousal_mean,-0.6330181205020213,0.6330181205020213,0.11745414619514577
segment_group_task_engagement_base_T,T,task_engagement,dominance_mean,0.6940860706683407,0.6940860706683407,0.1247827640524849
segment_group_task_engagement_base_T,T,task_engagement,valence_mean,0.12133706289565796,0.12133706289565796,0.11826737546274659
segment_group_task_engagement_base_T,T,task_engagement,role_p_green,-0.2896304101243183,0.2896304101243183,0.010756910063574019
segment_group_task_engagement_base_T,T,task_engagement,role_p_red,-0.2682715272750314,0.2682715272750314,0.013052533158529838
window_60s_individual_engagement_base_all,all,engagement_target,word_count,0.7182088252925461,0.7182088252925461,0.09685155659424285
window_60s_individual_engagement_base_all,all,engagement_target,avg_word_length,0.2944383113260456,0.2944383113260456,0.07290333468117959
window_60s_individual_engagement_base_all,all,engagement_target,words_per_second,0.7182088252925453,0.7182088252925453,0.09225060114589148
window_60s_individual_engagement_base_all,all,engagement_target,sentiment_role,0.26537345178171556,0.26537345178171556,0.07537744932460018
window_60s_individual_engagement_base_all,all,engagement_target,speaking_role,0.48122148987430347,0.48122148987430347,0.11783259396261671
window_60s_individual_engagement_base_all,all,engagement_target,arousal,0.4890617076387042,0.4890617076387042,0.08942790325128187
window_60s_individual_engagement_base_all,all,engagement_target,dominance,-1.110062936656835,1.110062936656835,0.10212551053469258
window_60s_individual_engagement_base_all,all,engagement_target,valence,0.0950516845621055,0.0950516845621055,0.1057482333982265
window_60s_individual_engagement_base_all,all,engagement_target,question_rate,-0.0229600183896622,0.0229600183896622,0.019642792638743398
window_60s_individual_engagement_base_all,all,engagement_target,statement_rate,-0.022543952471669015,0.022543952471669015,0.022210121461781147
window_60s_individual_engagement_base_all,all,engagement_target,segment_count,-0.17321956659437418,0.17321956659437418,0.05269347145742245
